VYBER,credit,withdrawal,total_type_count,collection_from_another_bank,credit_card_withdrawal,credit_in_cash,other,remittance_to_another_bank,withdrawal_in_cash,status,gender,age,region,avg_salary,type_card
3,26,12,41,21922.3333333,0,0,143.616666667,7266,4729.775,yes,M,54,Prague,12541,no_card
0,20,22,42,16400.5,0,2966.66666667,77.04,0,6068.65,no,M,60,south Bohemia,9104,no_card
1,37,16,54,0,0,25006.5,264.283333333,2597.8125,11062.0727273,yes,M,37,north Moravia,9893,no_card
1,39,12,52,0,0,25244.6666667,117.65,1666,6104.18181818,no,M,47,south Bohemia,8547,no_card
1,30,16,47,14994.5,0,2025,156.3,2282.38461538,4367.55555556,yes,M,59,south Bohemia,8402,no_card
4,34,12,50,44947.5,0,0,192.966666667,3419,9819.36923077,yes,M,55,south Bohemia,8427,no_card
0,45,13,58,0,0,17018.8571429,122.85,945.826086957,3450.34545455,yes,M,57,north Moravia,10673,classic
4,21,18,43,0,0,23014.1666667,137.483333333,0,6535.324,no,M,32,east Bohemia,8254,no_card
0,15,12,27,0,0,11722.3333333,89.9166666667,0,4365.84,yes,M,49,south Bohemia,9104,classic
0,31,12,43,0,0,25391.1666667,202.216666667,1708.18181818,6291.38,yes,M,46,north Bohemia,9198,classic
1,14,16,31,0,0,26812.5,252.633333333,0,12715.5333333,yes,M,54,north Bohemia,9317,classic
0,18,11,29,0,0,18755.8333333,122.2,2152,6841.46,yes,M,60,south Moravia,8512,no_card
3,43,22,68,0,0,25484.125,210.616666667,1565.66666667,12186.6451613,yes,M,32,north Moravia,8678,no_card
0,21,17,38,0,2900,12816.6363636,204.716666667,8928,5336.25714286,yes,M,55,north Moravia,10177,classic
0,24,12,36,29058.1666667,0,0,227.766666667,5212,8204.86666667,yes,M,28,north Bohemia,8965,classic
3,31,11,45,0,0,24687.4,204.783333333,2963.5,6346.25454545,yes,M,59,south Moravia,8772,no_card
0,26,11,37,0,0,16688.8333333,208.14,3803,3952.65,yes,M,43,north Moravia,8678,classic
0,20,12,32,0,0,20746.8333333,122.333333333,0,7061.38,yes,M,26,south Bohemia,10045,no_card
3,26,14,43,39971.8333333,0,1700,143.533333333,13691,6758.7826087,yes,M,60,south Bohemia,9045,no_card
1,36,14,51,0,0,19353.25,202.2,1223,5998.26315789,yes,M,25,east Bohemia,9538,no_card
0,21,12,33,0,0,24259.1666667,184.1,0,6688.93333333,yes,M,26,east Bohemia,8388,no_card
5,33,12,50,50707.5,0,0,228.5,2067.5,8109.73076923,yes,M,52,east Bohemia,8369,classic
0,27,12,39,0,0,15110.3333333,136.75,4739,1808.93333333,yes,M,34,south Moravia,9897,no_card
3,18,13,34,0,0,24742.5714286,138.566666667,0,8056.5047619,no,M,52,Prague,12541,no_card
0,19,17,36,0,0,4813.63636364,60.8666666667,4660,2060.54285714,yes,M,62,north Moravia,8994,no_card
